cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report
8567,13005589,"DELUCA, ANTHONY",PA,HOUSE,32,STOLB [ILLEGIBLE],EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3929768-PA-DELUCA-ANTHONY-M
8839,13005621,"SMITH, MATTHEW",PA,SENATE,37,ALLEGHENY CONF. ON COMMUNITY DEVELOPMENT,BUSINESS ASSOCIATIONS,https://apps.publicintegrity.org/disclosure/documents/3930203-PA-SMITH-MATTHEW
8750,13005628,"MUSTIO, THOMAS",PA,HOUSE,44,AIRPORT COMMERCE DRIVERS ASSOCIATION,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3932265-PA-MUSTIO-THOMAS-MARK
8751,13005628,"MUSTIO, THOMAS",PA,HOUSE,44,DBA HHM INSURORS,INSURANCE,https://apps.publicintegrity.org/disclosure/documents/3932265-PA-MUSTIO-THOMAS-MARK
8752,13005628,"MUSTIO, THOMAS",PA,HOUSE,44,"HHM BENEFITS, LLC",EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3932265-PA-MUSTIO-THOMAS-MARK
8694,13005630,"KOTIK, NICKOLAS",PA,HOUSE,45,WILLIAM PENN ASSOCIAITON,INSURANCE,https://apps.publicintegrity.org/disclosure/documents/3929996-PA-KOTIK-NICKOLAS-M
8587,13005677,"EVANKOVICH, ELI",PA,HOUSE,54,SALEM CROSSROADS DAYCARE CENTER,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3929809-PA-EVANKOVICH-ELI
8695,13005684,"KRIEGER, TIMOTHY",PA,HOUSE,57,PERSHING LLC,MISCELLANEOUS FINANCE,https://apps.publicintegrity.org/disclosure/documents/3930000-PA-KRIEGER-TIMOTHY-A
8696,13005684,"KRIEGER, TIMOTHY",PA,HOUSE,57,STRASSBURGER MCKENNA GUTNICK & GEFSKY,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3930000-PA-KRIEGER-TIMOTHY-A
8697,13005684,"KRIEGER, TIMOTHY",PA,HOUSE,57,WESTMORELAND COMMUNITY ACTION,NONPROFIT INSTITUTIONS,https://apps.publicintegrity.org/disclosure/documents/3930000-PA-KRIEGER-TIMOTHY-A
8798,13005693,"REESE, MICHAEL",PA,HOUSE,59,CODY ADANITSCH,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3930142-PA-REESE-MICHAEL-P
8797,13005706,"REED, DAVID",PA,HOUSE,62,"JGE PROPERTIES, LLC",REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3930138-PA-REED-DAVID-L-DAVE
