cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report
6060,13003905,"COLLINS, JEFFREY",NC,HOUSE,25,MSH INSURANCE,INSURANCE,https://apps.publicintegrity.org/disclosure/documents/3928499-NC-COLLINS-JEFFREY-LYNN
6019,13003908,"BLUST, JOHN M.",NC,HOUSE,62,"IVEY, MCCLELLAN, GATTON & TOLCOTT LLP",LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3928423-NC-BLUST-JOHN-M
6224,13003979,"PIERCE, GARLAND E.",NC,HOUSE,48,BRIGHT HOPEWELL BAPTIST CHURCH,CLERGY,https://apps.publicintegrity.org/disclosure/documents/3928830-NC-PIERCE-GARLAND-E
6225,13003979,"PIERCE, GARLAND E.",NC,HOUSE,48,GARLAND E. PIERCE AND ASSOCIATES,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3928830-NC-PIERCE-GARLAND-E
6226,13003979,"PIERCE, GARLAND E.",NC,HOUSE,48,UNITED PARCEL SERVICE,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3928830-NC-PIERCE-GARLAND-E
6127,13004008,"HARRISON, MARY PRICE (PRICEY)",NC,HOUSE,57,ADA GROUP,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3928659-NC-HARRISON-MARY-PRICE-PRICEY
6128,13004008,"HARRISON, MARY PRICE (PRICEY)",NC,HOUSE,57,INTEGRO EARTH FUELS,MISCELLANEOUS ENERGY,https://apps.publicintegrity.org/disclosure/documents/3928659-NC-HARRISON-MARY-PRICE-PRICEY
6129,13004008,"HARRISON, MARY PRICE (PRICEY)",NC,HOUSE,57,IQMAX HEALTHCARE,HEALTH SERVICES,https://apps.publicintegrity.org/disclosure/documents/3928659-NC-HARRISON-MARY-PRICE-PRICEY
6130,13004008,"HARRISON, MARY PRICE (PRICEY)",NC,HOUSE,57,IQMAX INC,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3928659-NC-HARRISON-MARY-PRICE-PRICEY
6125,13004009,"HARDISTER, JONATHAN",NC,HOUSE,59,FIRST CAROLINA MORTGAGE,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3928649-NC-HARDISTER-JONATHAN-YATES
6161,13004011,"JOHNSON, RALPH C.",NC,HOUSE,58,HOMESTYLE REMODELING,GENERAL CONTRACTORS,https://apps.publicintegrity.org/disclosure/documents/3928728-NC-JOHNSON-RALPH-CHUCKIE
6105,13004029,"GOODMAN, KENNETH",NC,HOUSE,66,GOODMAN HOLDINGS,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3928606-NC-GOODMAN-KENNETH-LEIGH
6106,13004029,"GOODMAN, KENNETH",NC,HOUSE,66,R.W. GOODMAN CO. INC,RETAIL SALES,https://apps.publicintegrity.org/disclosure/documents/3928606-NC-GOODMAN-KENNETH-LEIGH
6268,13004096,"SOUCEK, DANIEL FREDERICK",NC,SENATE,45,ACCESS CARE,HEALTH SERVICES,https://apps.publicintegrity.org/disclosure/documents/3928910-NC-SOUCEK-DANIEL-FREDERICK
6270,13004096,"SOUCEK, DANIEL FREDERICK",NC,SENATE,45,SAMARITAN'S PURSE,CLERGY,https://apps.publicintegrity.org/disclosure/documents/3928910-NC-SOUCEK-DANIEL-FREDERICK
6163,13004097,"JORDAN, JONATHAN",NC,HOUSE,93,DUKE UNIVERSITY,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3928734-NC-JORDAN-JONATHAN-CHRISTIAN
6164,13004097,"JORDAN, JONATHAN",NC,HOUSE,93,JORDAN AND JORDAN LAW OFFFICES PLLC,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3928734-NC-JORDAN-JONATHAN-CHRISTIAN
6087,13004098,"ELMORE, JEFFREY",NC,HOUSE,94,WILKES COUNTY SCHOOLS,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3928556-NC-ELMORE-JEFFREY-CARTER
6135,13004128,"HASTINGS, KELLY",NC,HOUSE,110,KELLY HASTINGS REALTOR,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3928669-NC-HASTINGS-KELLY-E
6369,13004154,"CARLISLE, RON",ND,SENATE,30,TREES N MORE,AGRICULTURAL SERVICES & PRODUCTS,https://apps.publicintegrity.org/disclosure/documents/3929067-ND-CARLISLE-RON
6521,13004159,"PORTER, TODD",ND,HOUSE,34,"26TH STREET PROPERTIES, LLC",REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3929326-ND-PORTER-TODD
6522,13004159,"PORTER, TODD",ND,HOUSE,34,BEEFER CREAK CADDLE LLP,AGRICULTURAL SERVICES & PRODUCTS,https://apps.publicintegrity.org/disclosure/documents/3929326-ND-PORTER-TODD
6523,13004159,"PORTER, TODD",ND,HOUSE,34,"BISMARCK AIR MEDICAL, LLC",HEALTH SERVICES,https://apps.publicintegrity.org/disclosure/documents/3929326-ND-PORTER-TODD
6524,13004159,"PORTER, TODD",ND,HOUSE,34,BISMARCK PARTNERS LLP,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3929326-ND-PORTER-TODD
6525,13004159,"PORTER, TODD",ND,HOUSE,34,"CAPITAL CITY INVESTMENTS, LLP",SECURITIES & INVESTMENT,https://apps.publicintegrity.org/disclosure/documents/3929326-ND-PORTER-TODD
6526,13004159,"PORTER, TODD",ND,HOUSE,34,"METRO-AREA AMBULANCE SERVICE, INC.",HEALTH SERVICES,https://apps.publicintegrity.org/disclosure/documents/3929326-ND-PORTER-TODD
6527,13004159,"PORTER, TODD",ND,HOUSE,34,PEZ RANCH LLIP,CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,https://apps.publicintegrity.org/disclosure/documents/3929326-ND-PORTER-TODD
7097,13004172,"SAD, TARA",NH,HOUSE,CHESHIRE 001,"TUCK SCHOOL, DARTMOUTH COLLEGE",EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3929391-NH-SAD-TARA
7054,13004192,"PARISON, JIM",NH,HOUSE,HILLSBOROUGH 025,BOSE CORPORATION,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,https://apps.publicintegrity.org/disclosure/documents/3929278-NH-PARISON-JIM
7040,13004194,"OBRIEN, WILLIAM",NH,HOUSE,HILLSBOROUGH 005,"REGDOX SOLUTIONS, INC",COMPUTER EQUIPMENT & SERVICES,https://apps.publicintegrity.org/disclosure/documents/3929243-NH-OBRIEN-WILLIAM-L-BILL
6744,13004208,"BURT, JOHN",NH,HOUSE,HILLSBOROUGH 039,HILLSBOROUGH COUNTY NURSING HOME,HOSPITALS & NURSING HOMES,https://apps.publicintegrity.org/disclosure/documents/3928328-NH-BURT-JOHN-A
6921,13004219,"INFANTINE, WILLIAM",NH,HOUSE,HILLSBOROUGH 013,ASPEN INSURANCE,INSURANCE,https://apps.publicintegrity.org/disclosure/documents/3928946-NH-INFANTINE-WILLIAM-J
6922,13004219,"INFANTINE, WILLIAM",NH,HOUSE,HILLSBOROUGH 013,RAPID SHEET METAL,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,https://apps.publicintegrity.org/disclosure/documents/3928946-NH-INFANTINE-WILLIAM-J
6943,13004220,"KATSIANTONIS, THOMAS",NH,HOUSE,HILLSBOROUGH 015,GRAND SLAM PIZZA RESTAURANT,FOOD & BEVERAGE,https://apps.publicintegrity.org/disclosure/documents/3929000-NH-KATSIANTONIS-THOMAS
6944,13004220,"KATSIANTONIS, THOMAS",NH,HOUSE,HILLSBOROUGH 015,TOMMY K'S PIZZA RESTAURANT,FOOD & BEVERAGE,https://apps.publicintegrity.org/disclosure/documents/3929000-NH-KATSIANTONIS-THOMAS
7035,13004224,"NOTTER, JEANINE",NH,HOUSE,HILLSBOROUGH 021,BAE SYSTEMS,DEFENSE AEROSPACE,https://apps.publicintegrity.org/disclosure/documents/3929230-NH-NOTTER-JEANINE-M
7217,13004260,"WEYLER, KENNETH",NH,HOUSE,ROCKINGHAM 013,AMERICAN AIRLINES,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3929618-NH-WEYLER-KENNETH-L-KEN
7419,13004292,"BANDY, PAUL",NM,HOUSE,3,BANDY RANCH,CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,https://apps.publicintegrity.org/disclosure/documents/3928666-NM-BANDY-PAUL-C
7504,13004372,"REHM, WILLIAM",NM,HOUSE,31,BR AND ASSOCIATES,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3928955-NM-REHM-WILLIAM-R
7531,13004415,"TRUJILLO, CARL",NM,HOUSE,46,LOS ALAMOS NATIONAL LABORATORY,MISCELLANEOUS DEFENSE,https://apps.publicintegrity.org/disclosure/documents/3929040-NM-TRUJILLO-CARL-P
7532,13004415,"TRUJILLO, CARL",NM,HOUSE,46,"TRI-SON DEVELOPMENT, INC.",EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3929040-NM-TRUJILLO-CARL-P
7459,13004431,"HERRELL, YVETTE",NM,HOUSE,51,1ST CHOICE REAL ESTATE,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3928814-NM-HERRELL-YVETTE
7469,13004434,"LITTLE, RICKY",NM,HOUSE,53,R LITTLE ENTERPRISES INC.,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3928858-NM-LITTLE-RICKY-L
7505,13004459,"ROCH, DENNIS",NM,HOUSE,67,LOGAN MUNICIPAL SCHOOLS,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3928957-NM-ROCH-DENNIS-J
8037,13004484,"GARDNER, RANDALL",OH,SENATE,2,BOWLING GREEN PRESIDENT'S LEADERSHIP ACADEMY,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3929881-OH-GARDNER-RANDALL
7956,13004529,"BARNES JR, JOHN",OH,HOUSE,12,CLEAR CHANNEL,TV & MOVIE PRODUCTION/DISTRIBUTION,https://apps.publicintegrity.org/disclosure/documents/3929670-OH-BARNES-JR-JOHN-E
7957,13004529,"BARNES JR, JOHN",OH,HOUSE,12,GLOBALTWO CAPITAL INVESTMENTS,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3929670-OH-BARNES-JR-JOHN-E
7958,13004529,"BARNES JR, JOHN",OH,HOUSE,12,JBJB DEVELOPMENT,GENERAL CONTRACTORS,https://apps.publicintegrity.org/disclosure/documents/3929670-OH-BARNES-JR-JOHN-E
7959,13004529,"BARNES JR, JOHN",OH,HOUSE,12,THE DIPLOMACY GROUP INC.,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3929670-OH-BARNES-JR-JOHN-E
7966,13004578,"BISHOFF, HEATHER",OH,HOUSE,20,SHEGBISH INVESTMENTS,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3929693-OH-BISHOFF-HEATHER
7967,13004578,"BISHOFF, HEATHER",OH,HOUSE,20,THE BISHOFF FINANCIAL GROUP,MISCELLANEOUS FINANCE,https://apps.publicintegrity.org/disclosure/documents/3929693-OH-BISHOFF-HEATHER
